,Output,Left Mtx,Right Mtx,
,Q,XQ,WQ,
Size,256x64x12,256x768,768x64x12,
Tile,32x32,32x192,192x32,
"1st wrap, stride",N/A,"192, 1","32,1",
"2nd wrap, stride",N/A,"32, 768","192, 768",
"3rd wrap, stride",N/A,"768/192, 192","768/192, 192*768",
"4th wrap, stride",N/A,"256/32, 768*32","64/32*12, 32",
,,,,
,Output,Left Mtx,Right Mtx,
,K,XKV,WK,NOTE: This group of inputs and output will be transposed from L2 to L1. What’s shown here is untransposed.
Size,256x64x12,256x768,768x64x12,
Tile,32x256,256x48,48x32,
"1st wrap, stride",N/A,"48, 1","32, 1",
"2nd wrap, stride",N/A,"256, 768","48, 768",
"3rd wrap, stride",N/A,"768/48, 48","768/48, 768*48",
"4th wrap, stride",N/A,"256/256, 256*768","64/32*12, 32",
,,,,
,Output,Left Mtx,Right Mtx,
,V,XKV,WV,
Size,256x64x12,256x768,768x64x12,
Tile,256x16,256x48,48x16,
"1st wrap, stride",N/A,"48, 1","16, 1",
"2nd wrap, stride",N/A,"256, 768","48, 768",
"3rd wrap, stride",N/A,"768/48, 48","768/48, 768*48",
"4th wrap, stride",N/A,"256/256, 256*768","64/16*12, 16",
,,,,
,Output,Left Mtx,Right Mtx,
,O4,O3,WO,
Size,256x64x12,256x768,768x64x12,
Tile,32x768,32x16,16x768,
"1st wrap, stride","768, 1",N/A,"768, 1",
"2nd wrap, stride","32, 768",N/A,"16, 768",
"3rd wrap, stride","768/768, 768",N/A,"768/16, 768*16",
"4th wrap, stride","256/32, 768*32",N/A,"768/768, 768",
